state,2016,2017,2018
AK,90531082.14999996,137682484.53000003,128306643.51
AL,56093750.05999998,41571086.68,34548843.86999999
AR,47342389.86000001,36418991.29000004,34466479.79
AS,1516873.67,2938929.869999999,1322273.78
AZ,90648201.12999994,82754496.09000018,194656942.30999997
CA,520032489.4299985,371439476.13,325899586.0999987
CO,39594135.29,43399142.44999994,37484420.66000001
CT,23636559.21000002,19356823.959999982,20019872.980000008
DC,9935555.270000001,11162708.470000004,8888379.139999999
DE,8924837.659999998,14186779.700000001,5994375.149999998
FL,160120673.0399997,142973846.16000023,125463903.92000024
GA,113347974.79000023,76067882.64000015,75769689.16000004
GU,849156.83,1584104.7199999997,754407.4999999999
HI,6692782.210000006,6783077.57,7319806.729999998
IA,22359242.089999996,22090435.74999999,17555650.04000002
ID,14769134.909999989,16164781.509999989,13939547.790000007
IL,133190620.6500004,144852829.0900005,112129733.67000008
IN,82181031.33999997,65097557.570000045,45835188.27999991
KS,27881456.719999943,23279688.879999973,28922317.850000016
KY,45554630.01000011,39148645.22000006,31024135.879999995
LA,61678704.05000008,51641414.65000004,38602639.87000005
MA,46371749.26000005,37596003.99999996,37586444.06999997
MD,44709762.540000066,34652736.85999997,38081164.82000004
ME,8770986.890000002,8338306.190000004,8366270.249999996
MI,202370527.24000013,68382818.25000006,47472844.55000014
MN,49376369.220000036,32735166.029999986,31960842.82000001
MO,61544992.57000003,44105120.19000002,36112100.64999997
MP,1253994.63,982149.8799999999,250172.58
MS,42155480.47999996,28193088.540000018,28835184.429999962
MT,10122858.290000008,7250246.209999996,8097604.630000003
NC,109176108.00000013,72666347.15999997,73502873.04000002
ND,5848025.009999995,4562241.199999999,4264703.209999999
NE,12237429.540000007,9335959.95000001,10052562.139999993
NH,4820755.4799999995,5086485.97,4970456.299999996
NJ,93018984.27000009,76112500.29000002,67701988.52000017
NM,76054486.38999997,112095299.57000002,72838085.96
NV,14156995.33,14319505.54,10277501.440000005
NY,207432183.14999965,214363471.92999908,157607015.40000004
OH,96035562.33000034,75157513.07999992,72822440.90000007
OK,60643690.51999996,50787781.93000003,57747361.85000016
OR,44410084.53000001,34894430.55999997,30681730.92000001
PA,81958421.37000003,68453336.58000006,63572294.37000016
PR,57954871.20999985,48802173.25,38970773.00999997
RI,7988139.859999999,5711996.050000002,6006158.590000001
SC,63612414.11000007,42388902.82000003,38921596.700000055
SD,7574409.900000003,6113137.989999999,4558397.4
TN,83497145.58000001,75558293.12000005,78793355.5300001
TX,302546788.11999893,272399133.73999965,355282556.3799997
UT,29563363.14,25527549.880000006,25435914.509999994
VA,62722846.66000001,50257909.649999954,44237141.210000046
VI,2592555.4700000007,2639693.4700000025,1374735.7499999995
VT,5600820.29,5107765.47,4453128.870000002
WA,49571131.47000002,64659416.81999997,41978138.219999984
WI,70005536.16000013,256986877.59,41033270.980000034
WV,19219351.000000007,18139939.250000004,17562515.820000004
WY,5912261.699999999,6242943.07,4916435.619999999
